CitanceNumber,PreTwo,PreOne,CitationSentence,PostOne,PostTwo,PreOne And Citation,Citation And PostOne,CitingArticle,ReferenceArticle,LengthOfDocumentVector
159,-2.5589999999999997,-2.4449999999999994,-2.8630000000000004,-2.246,-3.6419999999999995,-3.654,-3.505,P11-1087.xml,D10-1083.xml,3643
160,-1.363,-1.8860000000000001,-1.3600000000000003,-1.7249999999999996,-1.7079999999999997,-1.85,-2.458,P11-1087.xml,D10-1083.xml,3643
161,-1.564,-2.082,-1.7189999999999999,-2.3069999999999995,-3.193999999999999,-2.8779999999999997,-3.125000000000001,P13-1150.xml,D10-1083.xml,3643
162,-1.7390000000000003,-1.5910000000000002,-2.3280000000000003,-1.907,-2.947,-2.8620000000000005,-3.162,W11-0301.xml,D10-1083.xml,3643
163,-1.6950000000000003,-3.5309999999999997,-2.9889999999999994,-1.4890000000000003,-4.074000000000001,-4.366,-3.2250000000000005,W12-1914.xml,D10-1083.xml,3643
164,-1.751,-1.907,-2.3449999999999998,-2.4330000000000003,-1.7750000000000004,-2.839,-3.1609999999999996,W11-1104.xml,E03-1020.xml,3643
165,-0.9870000000000001,-1.705,-1.2559999999999998,-2.052,-1.323,-1.6140000000000003,-1.8820000000000006,W11-2214.xml,E03-1020.xml,3643
166,-2.06,-2.7009999999999996,-2.596,-2.2229999999999994,-2.023,-3.735000000000001,-3.438999999999999,W11-2214.xml,E03-1020.xml,3643
167,-0.3959999999999999,-3.621999999999999,-2.161,-3.0939999999999994,-2.1759999999999997,-4.355,-3.9160000000000013,N13-1140.xml,E09-2008.xml,3780
168,-3.3609999999999998,-2.605000000000001,-3.3009999999999993,-2.701,-2.273,-3.954999999999999,-3.7889999999999997,W11-2605.xml,E09-2008.xml,3780
